# Generated from ../data/13JUL2013/000.dat
time gyro_x lean_est lean_rate_est steer steer_est steer_rate_est v v_c
24.96 -0.0134771 -0.00109175 -0.0104285 0.0015708 0.00252458 0.0353821 1.98298 2
24.98 -0.00735426 -0.000577123 -0.00928888 0.000942478 0.00208675 0.0156527 1.9635 2
25 -0.00301301 0.00194596 -0.00649123 0.000628319 0.00162777 0.0236948 1.98072 2
25.02 -0.0143013 -0.00170151 -0.0103014 0.000314159 0.00137654 0.0298085 1.9779 2
25.04 -0.00951172 -0.00308496 -0.0108757 -0.000314159 0.000800621 0.000595921 1.98846 2
25.06 0.00314467 0.00350224 -0.00357298 -0.000942478 2.64163e-05 0.0103984 1.97533 2
25.08 -0.00616194 0.00168568 -0.0056889 -0.0015708 -0.000400131 0.042067 1.97745 2
25.1 -0.00623924 -0.00163069 -0.00874393 -0.00188496 -0.000707992 0.0300174 1.98358 2
25.12 -0.00560504 0.000593199 -0.00603831 -0.00219911 -0.00115888 0.0274728 1.98899 2
25.14 -0.00237146 -0.00126975 -0.00770973 -0.00251327 -0.00151089 0.0248716 1.98829 2
25.16 -0.00944175 -0.00365001 -0.00951863 -0.00282743 -0.00203625 0.00548238 1.9963 2
25.18 -0.00586554 0.000224055 -0.00510361 -0.00345575 -0.00265362 0.0105977 2.0033 2
25.2 -0.0106022 -0.00233397 -0.00747987 -0.00408407 -0.00319796 0.0165774 1.99232 2
25.22 -0.00374428 -0.00155059 -0.00601574 -0.00471239 -0.00383182 0.00656261 1.99743 2
25.24 -4.06976e-05 0.00130302 -0.00318905 -0.00471239 -0.00408651 0.0239153 2.00139 2
25.26 -0.00940091 -0.00142396 -0.00649433 -0.00471239 -0.00397683 0.0408356 1.99747 2
25.28 -0.00587775 -0.00192551 -0.0068846 -0.00502655 -0.00400747 0.0314762 1.9929 2
25.3 -0.00243753 -0.000652104 -0.00502195 -0.00565487 -0.00448209 0.0241629 1.9976 2
25.32 0.00147236 0.00271565 -0.00176589 -0.00565487 -0.00461834 0.0467857 1.98388 2
25.34 -0.00291278 0.00145575 -0.0036005 -0.00565487 -0.00438736 0.0670244 1.99612 2
25.36 -0.00571997 4.29685e-05 -0.00523149 -0.00565487 -0.00416914 0.068269 2.00879 2
25.38 0.000304777 0.00117627 -0.00370334 -0.00596903 -0.00429751 0.0603777 2.03231 2
25.4 -0.000892679 0.00175059 -0.00307508 -0.00596903 -0.00434689 0.067017 2.02758 2
25.42 -0.0127224 -0.00305305 -0.00789113 -0.00596903 -0.00438758 0.0618171 2.02731 2
25.44 -0.00715191 -0.00501612 -0.0088775 -0.00628319 -0.00481146 0.0208129 2.04227 2
25.46 0.00873898 0.000902777 -0.00200899 -0.00628319 -0.00542528 0.00919603 2.03039 2
25.48 -0.00485993 0.000926254 -0.00252367 -0.00628319 -0.00551056 0.0436182 2.02335 2
25.5 -0.00981588 -0.0029554 -0.00654144 -0.0069115 -0.00556915 0.0449598 2.02612 2
25.52 -0.0025777 -0.00216279 -0.00488257 -0.00753982 -0.00610674 0.0253696 2.0269 2
25.54 0.00193989 0.000701446 -0.00149923 -0.00785398 -0.00666992 0.0336573 2.02237 2
25.56 -0.00874368 -0.00264854 -0.00508551 -0.00753982 -0.00672463 0.0402796 2.02584 2
25.58 0.000875375 -0.000208552 -0.00261627 -0.00753982 -0.00663787 0.0381002 2.02682 2
25.6 -0.00125745 0.000557132 -0.00218427 -0.00753982 -0.00649785 0.0527487 2.02235 2
25.62 -0.004576 -0.00169124 -0.00444147 -0.00785398 -0.00653609 0.0522223 2.02584 2
25.64 -0.00353391 -0.00262768 -0.00488825 -0.00816814 -0.00678725 0.0356553 2.02682 2
25.66 -0.00142424 -0.002006 -0.00375609 -0.00816814 -0.00715147 0.0255829 2.01206 2
25.68 -0.00633775 -0.00423556 -0.00564111 -0.0084823 -0.00751491 0.0154535 2.024 2
25.7 -0.00730534 -0.00486437 -0.00573783 -0.0084823 -0.00796843 0.00112496 2.02976 2
25.72 -0.00143374 -0.0032043 -0.00350961 -0.00911062 -0.00851957 -0.00467358 2.02793 2
25.74 -0.00492861 -0.00436169 -0.00421866 -0.00973894 -0.00918833 -0.00291105 2.02741 2
25.76 -0.00141287 -0.00595809 -0.0050065 -0.0103673 -0.00995075 -0.0203372 2.03547 2
25.78 0.00314348 -0.00387138 -0.00217669 -0.0109956 -0.0107511 -0.0228777 2.02953 2
25.8 -0.00144104 -0.00226108 -0.000784842 -0.0109956 -0.0110071 0.00173911 2.03132 2
25.82 -0.00918593 -0.00649064 -0.00523236 -0.0113097 -0.0111102 0.00396135 2.03865 2
25.84 -0.000667541 -0.00784564 -0.00549335 -0.0122522 -0.0118266 -0.0319522 2.04009 2
25.86 0.0117893 -0.000336959 0.00277177 -0.0128805 -0.0125921 -0.020269 2.04587 2
25.88 -0.0122329 -0.00389132 -0.00172584 -0.0125664 -0.0125427 0.0216323 2.03392 2
25.9 -0.0106765 -0.010922 -0.00847341 -0.0128805 -0.0126447 -0.0133574 2.03256 2
25.92 0.00893529 -0.00261277 0.00106307 -0.0135088 -0.0133688 -0.0306281 2.01022 2
25.94 0.00338225 0.00127487 0.00436065 -0.013823 -0.0135383 0.0237344 2.01751 2
25.96 -0.00981819 -0.0043569 -0.00216308 -0.013823 -0.0131967 0.0470242 2.00598 2
25.98 0.00332891 -0.00311322 -0.00047739 -0.0141372 -0.0131666 0.0264 2.00128 2
26 0.0109757 0.000916291 0.00362698 -0.0141372 -0.0132085 0.0414445 2.00816 2
26.02 -0.00391713 -0.00295816 -0.000712204 -0.0141372 -0.0130319 0.0577585 2.00787 2
26.04 -0.00277987 -0.00476135 -0.00208988 -0.0144513 -0.0131106 0.0394751 2.00181 2
26.06 0.00346454 -0.0032313 0.000311326 -0.0147655 -0.0135832 0.024399 2.01636 2
26.08 0.00465056 -0.00209059 0.0020258 -0.0150796 -0.0140778 0.0258781 2.00565 2
26.1 0.0093873 0.00202692 0.00585307 -0.0150796 -0.0140175 0.0582295 2.00592 2
26.12 0.0031855 0.000326382 0.00341178 -0.0150796 -0.0135852 0.0858924 2.00471 2
26.14 0.000225352 -0.00299664 0.000293705 -0.0153938 -0.0134982 0.0728778 2.00091 2
